Time (ms),AI (Act),AI (Pred),DT (Act),DT (Pred),MURHO (Act),MURHO (Pred),PHIT (Act),PHIT (Pred),POIS (Act),POIS (Pred),VPVS (Act),VPVS (Pred),GR (Act),GR (Pred),RHOB (Act),RHOB (Pred),VSH (Act),VSH (Pred),PHIE (Act),PHIE (Pred),SWE (Act),SWE (Pred),LMRHO (Act),LMRHO (Pred),RHOB (Phys Derived)
2132.0,11384.81464,11845.224402125059,67.39040977777779,65.30580357399857,18.93343733333333,21.24027738725093,0.0924644444444444,0.07566590833791098,0.2138786666666666,0.20039426002367014,1.659509777777778,1.6397139145593203,36.33179555555555,53.30829790022854,2.5083155555555554,2.526201510559079,0.1051666666666666,0.18488972019474073,0.0756355555555555,0.05839404889388059,0.2869044444444444,0.6554972602646957,13.937273333333335,13.651151601443864,2.5379327365325253
2134.0,11196.896314285714,11833.94164584743,67.86052857142856,65.50200382225934,18.22149857142857,21.526321670736838,0.1029375,0.07511060067829957,0.2170651785714285,0.1996254367630743,1.6639473214285714,1.6407342961651925,30.496285714285712,52.86162929759498,2.4905250000000003,2.520683804577558,0.0766285714285714,0.17760357317630296,0.0906660714285714,0.05926544025798316,0.1945803571428571,0.6548885699135366,13.924934642857142,13.63013634445113,2.5431328442214314
2136.0,11466.410324285713,11830.220081121952,64.95261660714286,65.3363271590227,20.31645,21.57129309071818,0.0879446428571428,0.0748001217223036,0.1997046428571428,0.1996201691124291,1.6338694642857143,1.6402939477411058,44.98674821428572,49.534708204751865,2.4392285714285715,2.515818878558035,0.1534785714285714,0.16898268151494822,0.0633910714285714,0.059080325783699934,0.4470178571428572,0.641689785335844,13.381954107142858,13.615955608948727,2.5359026561135956
2138.0,12169.630613934429,11865.469590075889,63.05013262295081,65.23877190848448,22.868467049180328,21.518741528471633,0.0709803278688524,0.0744047150677358,0.1877722950819672,0.19946152309884704,1.614799508196721,1.6394021130625427,31.4593868852459,49.38267536943851,2.5064459016393443,2.517299657895199,0.1110016393442623,0.17032849368445954,0.0532229508196721,0.05827347178266906,0.460227868852459,0.6033249038750191,13.500348360655735,13.633146133823058,2.53966097169954
2140.0,11632.459473661973,11908.783086398842,64.27573295774648,65.13155431193981,21.130836056338023,21.8383714590745,0.0697901408450704,0.0736900018767605,0.1951688732394366,0.19816367375180088,1.627426197183099,1.6377601943279116,52.124312676056334,47.9114167742891,2.4436943661971826,2.5204603476046596,0.1864154929577464,0.16751390138627556,0.0399732394366197,0.05777027623753348,0.6438422535211268,0.593090944831695,13.29241366197183,13.629215082063707,2.5447426259215757
2142.0,10420.577717500002,11977.381223175698,63.253455,65.06526169089591,19.516987083333333,21.878751715675172,0.077,0.0726868192972881,0.1886976388888889,0.19797943423218767,1.617115277777778,1.6369715085052527,66.9888138888889,47.65338150925202,2.153936111111111,2.5261406520801284,0.1241472222222222,0.16520957928821045,0.0571402777777777,0.05530923611681352,0.4919541666666666,0.6271969782958745,11.588134583333334,13.619622191785696,2.5567960749919614
2144.0,10639.388393636364,12004.720934788218,64.6184789090909,65.01253044121044,18.918355818181816,21.95732791754195,0.0795181818181818,0.07205084072494661,0.1981790909090908,0.19745511875545996,1.629981090909091,1.6363487806305288,31.35514363636364,47.037818445918695,2.25388,2.531376466781483,0.1719509090909091,0.16745301235072982,0.0520272727272727,0.05470518372341569,0.6519400000000001,0.6240478235743252,12.390187999999997,13.606591855052404,2.5605553976743938
2146.0,11897.507971041668,12032.307495515775,64.00185416666666,65.03171947187155,21.65780145833333,22.10958474730516,0.06034375,0.07136084689800015,0.1939760416666667,0.19688235912316734,1.6241195833333333,1.6352440478792896,50.14169999999999,46.22946498764955,2.49226875,2.534266950513259,0.2151916666666666,0.16703970513060012,0.02595,0.054664698904057354,0.6683416666666666,0.6152517912881839,13.578656041666669,13.691354582710677,2.567197000156428
2148.0,10573.774321666666,12053.194041755874,64.79036666666667,64.59326795170358,18.987002083333334,22.197587454323894,0.0744,0.07086761371611264,0.1985799999999999,0.1962866672313682,1.632358958333333,1.6318998212664144,45.051802083333335,45.103304988847064,2.2341416666666665,2.538004440449037,0.2137354166666666,0.16421876324330534,0.0402479166666666,0.05304455315303312,0.6680208333333333,0.6151468500735607,12.203304166666667,13.68013899300153,2.5543149357382355
2150.0,10797.571955306124,12074.256969375012,65.22783204081634,64.6043472949632,18.867161632653065,22.14720223577347,0.0781285714285714,0.07056060096429212,0.2017563265306122,0.19672692363054164,1.6363340816326526,1.6313732453909489,20.31861836734694,45.33498665837373,2.3104571428571425,2.5433788541557116,0.1842775510204081,0.16468120010789025,0.0486551020408163,0.05302713467294365,0.5507653061224491,0.6103575800650826,12.749302653061225,13.698721924652826,2.5592174887734025
