well,inline,crossline,std_corr,std_phase,std_shift,std_freq,wf_corr,wf_shift,polarity,inv_scale,inv_shift
Z-02,535,193,0.9824756558029681,75,0.0,15,0.8981412120198604,16.0,Reversed,0.017876692684011142,11921.011054332599
Z-03,428,146,0.955501352385255,105,0.0,20,0.8797011120822384,-16.0,Normal,0.1394971074034253,12345.940665313563
Z-04,569,193,0.9940492237197698,105,0.0,15,0.5790070511628944,-16.0,Normal,0.01319048647570908,11227.08892963401
Z-05,398,199,0.7644587104753544,90,0.0,15,0.5650710769775251,-34.0,Reversed,0.06519727135985258,12176.566165815357
Z-06,445,208,0.7935602741531292,0,0.0,15,0.8773440203821411,-22.0,Normal,0.0854870249355189,11762.594987698638
Z-07,488,199,0.8070940270877489,75,0.0,20,0.819042867622746,-10.0,Normal,0.04671825004777159,12842.985907229382
Z-08-ST-02,613,156,0.8482320970176526,15,0.0,10,0.511684260370957,28.0,Reversed,0.06308856436258964,11488.706353687965
