well_name,seismic_time_ms,inline,crossline,tie_quality_weight,target_GR,target_DT,target_RHOB,target_VSH,target_PHIE,target_SWE,target_PHIT,target_AI,target_VPVS,target_POIS,target_LMRHO,target_MURHO,target_IS_SAND,attr_acoustic_impedance,attr_calibrated_ai,attr_amp_center,attr_amp_shift_+1,attr_amp_shift_+2,attr_amp_shift_+3,attr_amp_shift_+4,attr_amp_shift_+5,attr_amp_shift_-1,attr_amp_shift_-2,attr_amp_shift_-3,attr_amp_shift_-4,attr_amp_shift_-5,attr_env_center,attr_env_deriv,attr_env_ratio,attr_env_shift_+1,attr_env_shift_+2,attr_env_shift_+3,attr_env_shift_+4,attr_env_shift_+5,attr_env_shift_-1,attr_env_shift_-2,attr_env_shift_-3,attr_env_shift_-4,attr_env_shift_-5,attr_ifreq_center,attr_ifreq_shift_+1,attr_ifreq_shift_+2,attr_ifreq_shift_+3,attr_ifreq_shift_+4,attr_ifreq_shift_+5,attr_ifreq_shift_-1,attr_ifreq_shift_-2,attr_ifreq_shift_-3,attr_ifreq_shift_-4,attr_ifreq_shift_-5,attr_sweetness,attr_sweetness_shift_+1,attr_sweetness_shift_+2,attr_sweetness_shift_+3,attr_sweetness_shift_+4,attr_sweetness_shift_+5,attr_sweetness_shift_-1,attr_sweetness_shift_-2,attr_sweetness_shift_-3,attr_sweetness_shift_-4,attr_sweetness_shift_-5,attr_polarity_index,attr_polarity_index_shift_+1,attr_polarity_index_shift_+2,attr_polarity_index_shift_-1,attr_polarity_index_shift_-2,attr_rel_pos,attr_spec_amp_10hz,attr_spec_amp_15hz,attr_spec_amp_20hz,attr_spec_amp_30hz,attr_spec_amp_40hz,attr_win_max,attr_win_mean,attr_win_min,attr_win_std,attr_n_il_p1_amp_center_diff,attr_n_il_p1_env_center_diff,attr_n_il_p1_acoustic_impedance_diff,attr_n_il_p1_ifreq_center_diff,attr_n_il_m1_amp_center_diff,attr_n_il_m1_env_center_diff,attr_n_il_m1_acoustic_impedance_diff,attr_n_il_m1_ifreq_center_diff,attr_n_xl_p1_amp_center_diff,attr_n_xl_p1_env_center_diff,attr_n_xl_p1_acoustic_impedance_diff,attr_n_xl_p1_ifreq_center_diff,attr_n_xl_m1_amp_center_diff,attr_n_xl_m1_env_center_diff,attr_n_xl_m1_acoustic_impedance_diff,attr_n_xl_m1_ifreq_center_diff,target_GR_trend,target_GR_residual,target_DT_trend,target_DT_residual,target_RHOB_trend,target_RHOB_residual,target_VSH_trend,target_VSH_residual,target_PHIE_trend,target_PHIE_residual,target_SWE_trend,target_SWE_residual,target_PHIT_trend,target_PHIT_residual,target_AI_trend,target_AI_residual,target_VPVS_trend,target_VPVS_residual,target_POIS_trend,target_POIS_residual,target_LMRHO_trend,target_LMRHO_residual,target_MURHO_trend,target_MURHO_residual
Z-02,2110.0,535,193,0.982475655802968,67.07987272727273,67.50937954545455,2.618204545454546,0.3194681818181818,0.02805909090909091,0.9758136363636362,0.07825454545454545,11869.815899545456,1.6611313636363634,0.21424909090909094,14.52325181818182,19.74330136363636,1,0.14814814809327845,11920.885917483813,-1263.53125,-902.5222778320312,-361.0089111328125,361.0089111328125,1083.0267333984375,1805.0445556640625,-1444.03564453125,-1444.03564453125,-1444.03564453125,-1263.53125,-1263.53125,2284.946972839099,276.19785801000273,1.80834897380445,2550.718557503896,2829.549112400425,3027.413983164419,3173.350979238141,3321.258193474246,1998.3228414838907,1718.222217580937,1554.0204967604698,1275.2120605575114,1268.910364818574,17.742876156363472,18.223370761695737,19.146122891137413,18.94822696593422,18.10581586409995,18.7306269748751,16.398066116976686,15.307561502301029,17.398680680288127,11.39447458804088,27.15031645437877,542.455497827236,597.5141387232558,646.6612170656424,695.4846088591906,745.7771262785251,767.4082811443016,493.4797498975989,439.1635872530971,372.5620236240469,377.7767790022412,243.52496907641446,-0.55297499875551,-0.3538274140797213,-0.12758427808843642,-0.7226154942396789,-0.8404130312372391,0.1282051282051282,2694.2651099607197,3613.526698975297,2929.652526139238,3103.7593092553925,579.5216748350931,-361.0089111328125,-1083.0267456054687,-1444.03564453125,411.6134940685694,177.8787841796875,-834.4951124638308,0.07407407404663924,-0.6941450547970653,-342.26171875,394.88861335327874,0.11111111106995883,7.793990268005782,-335.8946533203125,744.1457218078376,0.0,3.3235262315898915,185.74853515625,-235.2647667433257,0.0,-4.918359857565523,45.769057842520624,21.310814884752105,67.91499490890862,-0.4056153634540749,2.518503426427408,0.09970111902713796,0.18658250043320468,0.13288568138497714,0.063423447418816,-0.035364356509725095,0.6078578512249635,0.36795578513867266,0.08070982226393131,-0.0024552768093858562,11391.838325222227,477.9775743232294,1.667090943781803,-0.005959580145439514,0.21542859198534714,-0.0011795010762561953,13.898243047727426,0.625008770454393,18.993479934086054,0.7498214295503054
Z-02,2112.0,535,193,0.982475655802968,55.01791304347827,66.79252521739132,2.5706565217391306,0.2390217391304348,0.050495652173913046,0.5822217391304347,0.0887086956521739,11784.955798695653,1.6538430434782612,0.20980695652173914,14.17061260869565,20.06384652173913,1,0.11111111106995884,11920.868040791129,-902.5222778320312,-361.0089111328125,361.0089111328125,1083.0267333984375,1805.0445556640625,2527.0625,-1263.53125,-1444.03564453125,-1444.03564453125,-1444.03564453125,-1263.53125,2550.718557503896,272.30106978066306,2.826139265885902,2829.549112400425,3027.413983164419,3173.350979238141,3321.258193474246,3459.408375533968,2284.946972839099,1998.3228414838907,1718.222217580937,1554.0204967604698,1275.2120605575114,18.223370761695737,19.146122891137413,18.94822696593422,18.10581586409995,18.7306269748751,19.851380527889912,17.742876156363472,16.398066116976686,15.307561502301029,17.398680680288127,11.39447458804088,597.5141387232558,646.6612170656424,695.4846088591906,745.7771262785251,767.4082811443016,776.4374513699408,542.455497827236,493.4797498975989,439.1635872530971,372.5620236240469,377.7767790022412,-0.3538274140797213,-0.12758427808843642,0.11924572402253927,-0.55297499875551,-0.7226154942396789,0.13141025641025642,2704.9426770369937,3627.7872731698308,2941.256165892027,3142.087133500604,585.4682134257356,361.0089111328125,-722.0178344726562,-1444.03564453125,655.8052646537905,-183.13018798828125,-726.4499608139863,0.07407407404663922,1.9881823214686065,-168.00640869140625,294.0539862005421,0.11111111106995884,2.922904745985857,13.95233154296875,764.9670322606294,0.0,3.9098716653055376,4.37005615234375,-162.3977871914076,0.0,-4.164244201658612,45.83216163586508,9.185751407613196,67.8002277088616,-1.0077024914702832,2.5196885882858826,0.050967933453248015,0.18548501460433098,0.053536724526103835,0.06286708348712367,-0.01237143131321062,0.605097504189942,-0.02287576505950728,0.08021847899339551,0.008490216658778388,11418.328616358776,366.627182336877,1.6658906354639473,-0.012047591985686168,0.2147442869109346,-0.004937330389195471,13.892442779340193,0.2781698293554573,19.109100018824847,0.9547465029142828
Z-02,2114.0,535,193,0.982475655802968,47.117084000000006,64.7093536,2.588648,0.183744,0.038740000000000004,0.66714,0.06812800000000001,12241.531760000002,1.6317259999999998,0.19789,14.126198800000003,21.978612799999997,1,0.07407407404663922,11920.850164098445,-361.0089111328125,361.0089111328125,1083.0267333984375,1805.0445556640625,2527.0625,3068.57568359375,-902.5222778320312,-1263.53125,-1444.03564453125,-1444.03564453125,-1444.03564453125,2829.549112400425,238.34771283026134,7.837394088069007,3027.413983164419,3173.350979238141,3321.258193474246,3459.408375533968,3491.480157182386,2550.718557503896,2284.946972839099,1998.3228414838907,1718.222217580937,1554.0204967604698,19.146122891137413,18.94822696593422,18.10581586409995,18.7306269748751,19.851380527889912,21.02372848100068,18.223370761695737,17.742876156363472,16.398066116976686,15.307561502301029,17.398680680288127,646.6612170656424,695.4846088591906,745.7771262785251,767.4082811443016,776.4374513699408,761.4733502547145,597.5141387232558,542.455497827236,493.4797498975989,439.1635872530971,372.5620236240469,-0.12758427808843642,0.11924572402253927,0.34128556908946833,-0.3538274140797213,-0.55297499875551,0.1346153846153846,2715.352430292842,3641.6824022222017,2952.5644126732163,3179.0242817974886,591.2869385078671,1083.0267333984375,-216.60535888671876,-1263.53125,849.7140751226552,-362.7593994140625,-645.746536042835,0.07407407404663922,3.242049031573263,4.166015625,390.298458441187,0.11111111106995884,2.3690752364040613,361.0089111328125,614.4695044275873,0.03703703702331962,1.6979818664051542,-177.8824462890625,-121.65706990143417,0.0,-1.4947798243580728,45.892200132714606,1.2248838672853992,67.68678450493064,-2.9774309049306424,2.5208531137895918,0.0677948862104083,0.18439679491218897,-0.0006527949121889753,0.06232085862313408,-0.023580858623134075,0.6024555284462991,0.06468447155370083,0.07973669817831919,-0.01160869817831918,11444.469135919906,797.0626240800957,1.66470386015577,-0.0329778601557702,0.21406816674103712,-0.016178166741037114,13.88671153065841,0.23948726934159303,19.22321914182544,2.755393658174558
Z-02,2116.0,535,193,0.982475655802968,55.43927142857143,68.844215,2.585082142857143,0.21608214285714286,0.049803571428571426,0.49398214285714287,0.08432857142857142,11483.167833928572,1.6761892857142855,0.22124892857142855,14.378954285714286,18.450327500000004,1,0.11111111106995884,11920.868040791129,361.0089111328125,1083.0267333984375,1805.0445556640625,2527.0625,3068.57568359375,3429.584716796875,-361.0089111328125,-902.5222778320312,-1263.53125,-1444.03564453125,-1444.03564453125,3027.413983164419,171.9009334188579,8.385447826230385,3173.350979238141,3321.258193474246,3459.408375533968,3491.480157182386,3516.961176073121,2829.549112400425,2550.718557503896,2284.946972839099,1998.3228414838907,1718.222217580937,18.94822696593422,18.10581586409995,18.7306269748751,19.851380527889912,21.02372848100068,23.61856690967572,19.146122891137413,18.223370761695737,17.742876156363472,16.398066116976686,15.307561502301029,695.4846088591906,745.7771262785251,767.4082811443016,776.4374513699408,761.4733502547145,723.6703893478946,646.6612170656424,597.5141387232558,542.455497827236,493.4797498975989,439.1635872530971,0.11924572402253927,0.34128556908946833,0.5434783952622141,-0.12758427808843642,-0.3538274140797213,0.1378205128205128,2725.493267350399,3655.2106860599297,2963.576116825695,3214.5399409846364,596.975208341014,1805.0445556640625,397.10980224609375,-902.5222778320312,971.3756336048605,-541.9509887695312,-604.0288170096724,0.0,2.505940882236562,174.25543212890625,441.5263769662274,0.11111111106995884,3.018537396688483,527.56103515625,528.4726718782899,0.037037037023319605,1.4239889005956279,-181.3784637451172,66.8162194644242,0.0,0.4564969332891522,45.949173333069666,9.490098095501764,67.57466529711564,1.2695497028843619,2.5219970029385355,0.06308513991860742,0.18331784135677687,0.032764301500365994,0.06178477282684458,-0.011981201398273154,0.5999319239940206,-0.10594978113687775,0.07926447981870144,0.005064091609869981,11470.259883905674,12.907950022898149,1.6635306178572655,0.012658667857019967,0.21340023147565557,0.007848697095772988,13.88104930168209,0.4979049840321963,19.335837303087715,-0.8855098030877109
Z-02,2118.0,535,193,0.982475655802968,44.77035,63.82709178571428,2.504710714285714,0.13717142857142858,0.06572857142857143,0.3926857142857143,0.08766785714285716,12078.093252857143,1.6237957142857145,0.19130857142857144,13.391568214285714,22.659126785714285,1,0.14814814809327845,11920.885917483813,1083.0267333984375,1805.0445556640625,2527.0625,3068.57568359375,3429.584716796875,3249.080078125,361.0089111328125,-361.0089111328125,-902.5222778320312,-1263.53125,-1444.03564453125,3173.350979238141,146.92210515491365,2.930014177703382,3321.258193474246,3459.408375533968,3491.480157182386,3516.961176073121,3264.2047686321916,3027.413983164419,2829.549112400425,2550.718557503896,2284.946972839099,1998.3228414838907,18.10581586409995,18.7306269748751,19.851380527889912,21.02372848100068,23.61856690967572,22.923738328472357,18.94822696593422,19.146122891137413,18.223370761695737,17.742876156363472,16.398066116976686,745.7771262785251,767.4082811443016,776.4374513699408,761.4733502547145,723.6703893478946,681.7649556706709,695.4846088591906,646.6612170656424,597.5141387232558,542.455497827236,493.4797498975989,0.34128556908946833,0.5434783952622141,0.7304849408203496,0.11924572402253927,-0.12758427808843642,0.14102564102564102,2735.3641150954413,3668.3707615776143,2974.290158993186,3248.604487422504,602.5304485944707,2527.0625,1083.0267578125,-361.0089111328125,1021.0874310498325,-540.2005004882812,-459.61653717792933,0.0,3.432175485004688,522.7662353515625,588.4167940290326,0.11111111106995883,4.218977613744393,694.1131591796875,453.98218482784796,0.03703703702331962,2.293882814878387,-184.87451171875,-4.265944289736581,0.0,-1.2887340707736996,46.00308123693026,-1.232731236930256,67.46387008541683,-3.6367782997025486,2.523120255732712,-0.018409541446998023,0.18224815393809557,-0.045076725366666986,0.061258826098257835,0.004469745330313593,0.5975266908330923,-0.20484097654737798,0.07880182391454493,0.008866033228312226,11495.700860316021,582.3923925411218,1.6623709085684393,-0.03857519428272482,0.21274048111478816,-0.02143190968621672,13.875456092411234,-0.48388787812552003,19.446954502611902,3.212172283102383
Z-02,2120.0,535,193,0.982475655802968,24.73753870967742,67.38957580645162,2.438503225806452,0.021887096774193548,0.10933548387096775,0.13186774193548387,0.11283870967741934,11080.736754516129,1.6599693548387096,0.2134148387096774,13.485230000000003,18.557639032258063,1,0.18518518511659807,11920.903794176496,1805.0445556640625,2527.0625,3068.57568359375,3429.584716796875,3249.080078125,2707.56689453125,1083.0267333984375,361.0089111328125,-361.0089111328125,-902.5222778320312,-1263.53125,3321.258193474246,143.02869814791347,1.8399634088873087,3459.408375533968,3491.480157182386,3516.961176073121,3264.2047686321916,2885.234587767169,3173.350979238141,3027.413983164419,2829.549112400425,2550.718557503896,2284.946972839099,18.7306269748751,19.851380527889912,21.02372848100068,23.61856690967572,22.923738328472357,23.3469151711443,18.10581586409995,18.94822696593422,19.146122891137413,18.223370761695737,17.742876156363472,767.4082811443016,776.4374513699408,761.4733502547145,723.6703893478946,681.7649556706709,597.1265438344675,745.7771262785251,695.4846088591906,646.6612170656424,597.5141387232558,542.455497827236,0.5434783952622141,0.7304849408203496,0.8788695223460292,0.34128556908946833,0.11924572402253927,0.14423076923076922,2744.963929715364,3681.1613027739154,2984.70545021917,3281.1895105232347,607.9501525236109,3068.57568359375,1768.9436767578125,361.0089111328125,971.3756363268867,-538.4500732421875,-505.53570783000714,0.0,1.3001602752875385,692.8558349609375,484.33937174271887,0.11111111106995883,1.8307052442496818,682.9512939453125,270.33637608467507,0.03703703702331962,0.8966105415208645,-188.3704833984375,174.70537403906746,0.0,-0.45985679049124784,46.05392384429638,-21.316385134618958,67.35439886983397,0.03517693661764554,2.524222872172123,-0.08571964636567087,0.18118773265614596,-0.15930063588195242,0.06074301843737118,0.04859246543359658,0.5952398289635425,-0.46337208702805865,0.078348730465847,0.03448997921157233,11520.792065151007,-440.05531063487797,1.6612247322892912,-0.001255377450581685,0.2120889156584358,0.001325923051241601,13.869931902845828,-0.3847019028458245,19.556570740397774,-0.9989317081397111
Z-02,2122.0,535,193,0.982475655802968,43.71564571428572,69.21972828571428,2.4444085714285713,0.14602000000000004,0.09636285714285713,0.4244828571428571,0.11972285714285713,10783.082490857141,1.6788208571428573,0.22443514285714286,13.705476857142859,16.967190285714285,1,0.22222222213991769,11920.92167086918,2527.0625,3068.57568359375,3429.584716796875,3249.080078125,2707.56689453125,1985.549072265625,1805.0445556640625,1083.0267333984375,361.0089111328125,-361.0089111328125,-902.5222778320312,3459.408375533968,85.1109818540699,1.3689320839420767,3491.480157182386,3516.961176073121,3264.2047686321916,2885.234587767169,2559.898491143457,3321.258193474246,3173.350979238141,3027.413983164419,2829.549112400425,2550.718557503896,19.851380527889912,21.02372848100068,23.61856690967572,22.923738328472357,23.3469151711443,28.933782364620267,18.7306269748751,18.10581586409995,18.94822696593422,19.146122891137413,18.223370761695737,776.4374513699408,761.4733502547145,723.6703893478946,681.7649556706709,597.1265438344675,475.9048591861249,767.4082811443016,745.7771262785251,695.4846088591906,646.6612170656424,597.5141387232558,0.7304849408203496,0.8788695223460292,0.9751493258548912,0.5434783952622141,0.34128556908946833,0.14743589743589744,2754.2916967378724,3693.581020884814,2994.82093204347,3312.2678354962673,613.2318811825095,3429.584716796875,2382.658837890625,1083.0267333984375,849.7140694177597,-536.69970703125,-387.3581015002583,0.0,2.8002996328140703,684.5234375,467.1001345574796,0.11111111106995883,0.640080818651068,494.0751953125,118.77960574083818,0.03703703702331959,1.1429459311602166,-12.236328125,243.73733863878897,0.0,0.36069585376970537,46.1017011551678,-2.3860554408820818,67.2462516503673,1.9734766353469837,2.5253048522567685,-0.08089628082819722,0.18013657751092627,-0.03411657751092623,0.06023734984418638,0.03612550729867074,0.5930713383853288,-0.16858848124247167,0.07790519947260943,0.0418176576702477,11545.533498410543,-762.4510075534017,1.6600920890198214,0.01872876812303592,0.21144553510659936,0.012989607750543503,13.864476732985878,-0.1589998758430191,19.664686016445444,-2.697495730731159
Z-02,2124.0,535,193,0.982475655802968,37.942142105263166,70.25691526315791,2.457342105263158,0.10438157894736842,0.10420000000000001,0.16833421052631584,0.12089736842105266,10672.012231578949,1.690056578947368,0.23019184210526314,13.828227368421052,16.281398421052632,1,0.2592592591632373,11920.939547561866,3068.57568359375,3429.584716796875,3249.080078125,2707.56689453125,1985.549072265625,902.5222778320312,2527.0625,1805.0445556640625,1083.0267333984375,361.0089111328125,-361.0089111328125,3491.480157182386,28.77640026957647,1.1378093240586593,3516.961176073121,3264.2047686321916,2885.234587767169,2559.898491143457,1914.6623529515145,3459.408375533968,3321.258193474246,3173.350979238141,3027.413983164419,2829.549112400425,21.02372848100068,23.61856690967572,22.923738328472357,23.3469151711443,28.933782364620267,35.321331674998646,19.851380527889912,18.7306269748751,18.10581586409995,18.94822696593422,19.146122891137413,761.4733502547145,723.6703893478946,681.7649556706709,597.1265438344675,475.9048591861249,322.1615184871633,776.4374513699408,767.4082811443016,745.7771262785251,695.4846088591906,646.6612170656424,0.8788695223460292,0.9751493258548912,0.9953594971356267,0.7304849408203496,0.5434783952622141,0.15064102564102563,2763.3464310702143,3705.6286645131136,3004.6355765964577,3341.8135452581746,618.3732636675874,3429.584716796875,2815.8695068359375,1805.0445556640625,588.7876932977966,-354.444580078125,-336.64263209485625,0.0,2.7451132273841665,678.274658203125,482.58260911699927,0.11111111106995886,0.32452213225565174,307.990234375,19.788141782183175,0.03703703702331962,2.2135314527267873,164.7724609375,379.2697383902687,0.0,0.41944047597423406,46.14641316954476,-8.204271064281592,67.13942842701658,3.1174868361413246,2.526366195986647,-0.06902409072348892,0.17909468850243915,-0.07471310955507073,0.059741820318703454,0.04445817968129656,0.5910212190984936,-0.4226870085721778,0.07747123093483133,0.04342613748622133,11569.925160094746,-897.9129285157978,1.6589729787600245,0.031083600187343574,0.21081033945927707,0.019381502645986065,13.859090582831392,-0.030863214410340234,19.77130033075491,-3.4899019097022794
Z-02,2126.0,535,193,0.982475655802968,41.07195,68.61119304347828,2.4572478260869564,0.1353108695652174,0.09376521739130435,0.28223260869565214,0.11540869565217389,10930.465567826088,1.672219565217391,0.22109021739130433,13.758371739130434,17.46266608695652,1,0.2962962961865569,11920.95742425455,3429.584716796875,3249.080078125,2707.56689453125,1985.549072265625,902.5222778320312,-0.0,3068.57568359375,2527.0625,1805.0445556640625,1083.0267333984375,361.0089111328125,3516.961176073121,-113.63769427509715,1.0254704035156286,3264.2047686321916,2885.234587767169,2559.898491143457,1914.6623529515145,1219.1396796602828,3491.480157182386,3459.408375533968,3321.258193474246,3173.350979238141,3027.413983164419,23.61856690967572,22.923738328472357,23.3469151711443,28.933782364620267,35.321331674998646,60.714037849836124,21.02372848100068,19.851380527889912,18.7306269748751,18.10581586409995,18.94822696593422,723.6703893478946,681.7649556706709,597.1265438344675,475.9048591861249,322.1615184871633,156.46201105800137,761.4733502547145,776.4374513699408,767.4082811443016,745.7771262785251,695.4846088591906,0.9751493258548912,0.9953594971356267,0.9384142810560809,0.8788695223460292,0.7304849408203496,0.15384615384615385,2772.1271770387184,3717.30301975425,3014.148386690834,3369.802001459878,623.3719973874709,3429.584716796875,2996.373974609375,2527.0625,334.78584151192456,-534.511474609375,-514.2166024735329,0.0,-1.8452826797509587,495.687255859375,419.813477337083,0.11111111106995886,-1.42036267495428,-230.73291015625,-317.56096251277313,0.03703703702331962,-0.849666471041516,342.65478515625,414.2177997320873,0.0,-1.4231760368207205,46.188059887427016,-5.116109887427015,67.03392919978205,1.5772638436962296,2.5274069033617597,-0.0701590772748033,0.17806206563068194,-0.04275119606546454,0.0592564298609215,0.03450878753038285,0.5890894711030086,-0.30685686240735643,0.07704682485251269,0.038361870799661205,11593.96705020353,-663.5014823774418,1.6578674015099057,0.014352163707485266,0.21018332871647072,0.010906888674833609,13.85377345238237,-0.09540171325193647,19.876413683326177,-2.4137475963696566
Z-02,2128.0,535,193,0.982475655802968,58.34914655172413,65.94072051724139,2.5503620689655175,0.22783965517241384,0.04549482758620689,0.5146999999999999,0.08192931034482757,11851.47572327586,1.6451993103448272,0.20463241379310343,13.976146896551723,20.694861724137933,1,0.3333333332098765,11920.975300947233,3249.080078125,2707.56689453125,1985.549072265625,902.5222778320312,-0.0,-541.5133666992188,3429.584716796875,3068.57568359375,2527.0625,1805.0445556640625,1083.0267333984375,3264.2047686321916,-315.86329415297587,1.0046479667284818,2885.234587767169,2559.898491143457,1914.6623529515145,1219.1396796602828,629.744320726735,3516.961176073121,3491.480157182386,3459.408375533968,3321.258193474246,3173.350979238141,22.923738328472357,23.3469151711443,28.933782364620267,35.321331674998646,60.714037849836124,92.88365323273615,23.61856690967572,21.02372848100068,19.851380527889912,18.7306269748751,18.10581586409995,681.7649556706709,597.1265438344675,475.9048591861249,322.1615184871633,156.46201105800137,65.34232980461996,723.6703893478946,761.4733502547145,776.4374513699408,767.4082811443016,745.7771262785251,0.9953594971356267,0.9384142810560809,0.7756289027707604,0.9751493258548912,0.8788695223460292,0.15705128205128205,2780.633008428535,3728.602910318277,3023.3583959109683,3396.2098645884207,628.225848354677,3429.584716796875,2888.0712890625,1985.549072265625,510.54366373487323,-354.0068359375,-368.9125500318496,0.0,-0.20655450064739966,497.770263671875,573.5747598795492,0.11111111106995886,0.9239143762629993,-583.3701171875,-478.68619268250495,0.03703703702331962,-0.5788092399027924,523.159423828125,509.1427933694413,0.0,-1.4179603957017441,46.22664130881458,12.122505242909554,66.92975396866348,-0.9890334514220882,2.528426974382109,0.0219350945834087,0.17703870889565554,0.050800946276758296,0.05878117847084052,-0.013286350884633633,0.5872760943989022,-0.07257609439890222,0.07663198122565351,0.005297329119174063,11617.659168736951,233.81655453890926,1.656775357269467,-0.01157604692463976,0.20956450287817852,-0.0049320890850750865,13.84852534163879,0.12762155491293292,19.98002607415924,0.7148356499786921
